"MUNICIPALITY","STATE_CODE","total_deaths","mean_age","male_pct","elderly_pct","cluster"
"355030",35,409,55,77.5,40.3,1
"330455",33,311,52.5,70.1,39.2,1
"130260",13,145,54.4,70.3,41.4,2
"150140",15,142,61.9,68.3,57,2
"292740",29,134,55.3,71.6,41,2
"230440",23,117,55.7,73.5,43.6,2
"261160",26,105,55.3,67.6,41,2
"330170",33,98,54.7,73.5,46.9,2
"211130",21,75,55.3,69.3,41.3,2
"330350",33,63,55.3,66.7,39.7,2
"431490",43,62,55.8,69.4,46.8,2
"330490",33,50,49.8,72,24,2
"351880",35,49,54.4,71.4,38.8,2
"310620",31,47,58.8,80.9,48.9,2
"260790",26,41,54.5,75.6,31.7,2
"500270",50,41,52.6,73.2,34.1,2
"355100",35,39,56.3,74.4,46.2,2
"520870",52,38,54.5,73.7,39.5,2
"150080",15,35,51.8,65.7,40,2
"270430",27,35,52.5,74.3,45.7,2
"510340",51,35,55.5,74.3,42.9,2
"330510",33,34,55.4,67.6,44.1,2
"240810",24,32,48.6,78.1,31.2,2
"353440",35,32,52.1,93.8,31.2,2
"250750",25,30,50.7,83.3,36.7,2
"350950",35,30,57.5,70,43.3,2
"330045",33,29,51.1,86.2,41.4,2
"354850",35,29,49.9,62.1,20.7,2
"355220",35,29,53.6,79.3,37.9,2
"530010",53,29,52.6,65.5,37.9,2
"354780",35,28,47.8,82.1,17.9,2
"221100",22,25,53.4,64,40,2
"351870",35,25,53.4,72,40,2
"261070",26,24,55.8,87.5,29.2,2
"354990",35,24,55.3,83.3,37.5,2
"230730",23,23,63.4,65.2,60.9,3
"260960",26,23,53,65.2,39.1,2
"410690",41,23,56.8,87,47.8,2
"330100",33,22,52,90.9,27.3,2
"230370",23,21,61,85.7,47.6,2
"354340",35,21,50.1,81,33.3,2
"320500",32,20,56.5,70,55,3
"110020",11,19,52.4,84.2,42.1,2
"313670",31,19,60.6,68.4,42.1,3
"330330",33,19,57.3,73.7,47.4,3
"351060",35,19,50.2,73.7,26.3,2
"354100",35,19,52,73.7,36.8,2
"120040",12,18,54.9,55.6,33.3,3
"250400",25,18,54.3,77.8,22.2,2
"260410",26,18,55.2,72.2,38.9,2
"430460",43,18,61.3,66.7,72.2,3
"510840",51,18,60.6,61.1,50,3
"320130",32,17,58.1,88.2,47.1,2
"330250",33,17,42.8,64.7,17.6,2
"354980",35,17,57.9,52.9,41.2,3
"320520",32,16,53,75,25,2
"353870",35,16,54.1,62.5,43.8,3
"520140",52,16,50.8,93.8,18.8,2
"150442",15,15,59,80,46.7,3
"280030",28,15,60.7,73.3,60,3
"330320",33,15,51.3,80,26.7,2
"420910",42,15,48.1,80,13.3,2
"430510",43,15,57.3,66.7,40,3
"291080",29,14,56.1,64.3,35.7,3
"291480",29,14,60.3,85.7,50,2
"350600",35,14,58.1,85.7,42.9,2
"140010",14,13,48.3,53.8,38.5,2
"352220",35,13,45.5,92.3,7.7,2
"353060",35,13,49.8,76.9,30.8,2
"431560",43,13,50.2,76.9,38.5,2
